,S-MSE,S-RMSE,S-Cor,E-MSE,E-RMSE,E-Cor,I-MSE,I-RMSE,I-Cor,Tt-MSE,Tt-RMSE,Tt-Cor,R-MSE,R-RMSE,R-Cor,N-MSE,N-RMSE,N-Cor,Avg. Norm. RMSE,Avg. Cor.
ER-n=100-p=0.2,63.128,7.945,0.822,49.388,7.028,0.803,67.071,8.190,0.785,13.649,3.694,0.891,9.539,3.089,0.980,51.082,7.147,0.903,0.062,0.864
ER-n=100-p=0.5,81.670,9.037,0.745,54.224,7.364,0.780,68.401,8.271,0.768,17.148,4.141,0.856,7.637,2.764,0.981,44.657,6.683,0.885,0.064,0.836
ER-n=100-p=0.9,83.747,9.151,0.737,52.544,7.249,0.800,68.800,8.295,0.754,12.266,3.502,0.917,10.898,3.301,0.978,41.167,6.416,0.894,0.063,0.847
ER-n=200-p=0.2,286.031,16.912,0.761,254.106,15.941,0.790,264.609,16.267,0.758,62.259,7.890,0.899,94.306,9.711,0.975,352.164,18.766,0.855,0.071,0.840
ER-n=200-p=0.5,318.613,17.850,0.741,239.162,15.465,0.807,277.129,16.647,0.762,53.285,7.300,0.920,97.061,9.852,0.978,375.044,19.366,0.851,0.072,0.843
ER-n=200-p=0.9,307.746,17.543,0.744,239.966,15.491,0.800,272.869,16.519,0.741,70.785,8.413,0.892,93.111,9.649,0.977,376.816,19.412,0.854,0.073,0.835
ER-n=1000-p=0.2,7044.822,83.933,0.767,6279.430,79.243,0.802,7164.380,84.643,0.742,1635.473,40.441,0.897,1283.021,35.819,0.976,5325.440,72.976,0.911,0.066,0.849
ER-n=1000-p=0.5,7093.347,84.222,0.765,6214.200,78.830,0.809,7164.829,84.645,0.739,1546.411,39.324,0.906,1288.443,35.895,0.977,5422.978,73.641,0.907,0.066,0.851
ER-n=1000-p=0.9,7319.748,85.556,0.762,6350.177,79.688,0.791,6978.036,83.535,0.757,1643.981,40.546,0.893,1332.613,36.505,0.975,5291.291,72.741,0.908,0.066,0.848
BA-n=100-p=0.2,67.182,8.196,0.786,54.371,7.374,0.796,67.902,8.240,0.774,11.887,3.448,0.905,7.140,2.672,0.984,41.060,6.408,0.889,0.061,0.856
